"","Age","val","upper","lower"
"1",20,0.000176731961800769,0.000268540656569033,0.000153645360099095
"2",21,0.000176731961800769,0.000268540656569033,0.000153645360099095
"3",22,0.000176731961800769,0.000268540656569033,0.000153645360099095
"4",23,0.000176731961800769,0.000268540656569033,0.000153645360099095
"5",24,0.000176731961800769,0.000268540656569033,0.000153645360099095
"6",25,0.000221152833967055,0.000320464505467134,0.000183901583767208
"7",26,0.000221152833967055,0.000320464505467134,0.000183901583767208
"8",27,0.000221152833967055,0.000320464505467134,0.000183901583767208
"9",28,0.000221152833967055,0.000320464505467134,0.000183901583767208
"10",29,0.000221152833967055,0.000320464505467134,0.000183901583767208
"11",30,0.000263817358681848,0.000366250908262591,0.000212335544796296
"12",31,0.000263817358681848,0.000366250908262591,0.000212335544796296
"13",32,0.000263817358681848,0.000366250908262591,0.000212335544796296
"14",33,0.000263817358681848,0.000366250908262591,0.000212335544796296
"15",34,0.000263817358681848,0.000366250908262591,0.000212335544796296
"16",35,0.000329430671593428,0.000452973905953798,0.000268717885674853
"17",36,0.000329430671593428,0.000452973905953798,0.000268717885674853
"18",37,0.000329430671593428,0.000452973905953798,0.000268717885674853
"19",38,0.000329430671593428,0.000452973905953798,0.000268717885674853
"20",39,0.000329430671593428,0.000452973905953798,0.000268717885674853
"21",40,0.000768936821496879,0.00102577346948138,0.000621070050291608
"22",41,0.000768936821496879,0.00102577346948138,0.000621070050291608
"23",42,0.000768936821496879,0.00102577346948138,0.000621070050291608
"24",43,0.000768936821496879,0.00102577346948138,0.000621070050291608
"25",44,0.000768936821496879,0.00102577346948138,0.000621070050291608
"26",45,0.00262377684900622,0.0034499881474862,0.00208615100535247
"27",46,0.00262377684900622,0.0034499881474862,0.00208615100535247
"28",47,0.00262377684900622,0.0034499881474862,0.00208615100535247
"29",48,0.00262377684900622,0.0034499881474862,0.00208615100535247
"30",49,0.00262377684900622,0.0034499881474862,0.00208615100535247
"31",50,0.0064933783883348,0.00827082227771563,0.00515593267284732
"32",51,0.0064933783883348,0.00827082227771563,0.00515593267284732
"33",52,0.0064933783883348,0.00827082227771563,0.00515593267284732
"34",53,0.0064933783883348,0.00827082227771563,0.00515593267284732
"35",54,0.0064933783883348,0.00827082227771563,0.00515593267284732
"36",55,0.0118240726997138,0.0158525058155312,0.00976434734555462
"37",56,0.0118240726997138,0.0158525058155312,0.00976434734555462
"38",57,0.0118240726997138,0.0158525058155312,0.00976434734555462
"39",58,0.0118240726997138,0.0158525058155312,0.00976434734555462
"40",59,0.0118240726997138,0.0158525058155312,0.00976434734555462
"41",60,0.0212458955984917,0.0296236525878283,0.0185261449577118
"42",61,0.0212458955984917,0.0296236525878283,0.0185261449577118
"43",62,0.0212458955984917,0.0296236525878283,0.0185261449577118
"44",63,0.0212458955984917,0.0296236525878283,0.0185261449577118
"45",64,0.0212458955984917,0.0296236525878283,0.0185261449577118
"46",65,0.0286960598407276,0.0435013269272857,0.0254106043094086
"47",66,0.0286960598407276,0.0435013269272857,0.0254106043094086
"48",67,0.0286960598407276,0.0435013269272857,0.0254106043094086
"49",68,0.0286960598407276,0.0435013269272857,0.0254106043094086
"50",69,0.0286960598407276,0.0435013269272857,0.0254106043094086
"51",70,0.0349700970148814,0.0539646553067854,0.0307917817122973
"52",71,0.0349700970148814,0.0539646553067854,0.0307917817122973
"53",72,0.0349700970148814,0.0539646553067854,0.0307917817122973
"54",73,0.0349700970148814,0.0539646553067854,0.0307917817122973
"55",74,0.0349700970148814,0.0539646553067854,0.0307917817122973
"56",75,0.0448510191243917,0.0705746420337758,0.039580265620488
"57",76,0.0448510191243917,0.0705746420337758,0.039580265620488
"58",77,0.0448510191243917,0.0705746420337758,0.039580265620488
"59",78,0.0448510191243917,0.0705746420337758,0.039580265620488
"60",79,0.0448510191243917,0.0705746420337758,0.039580265620488
"61",80,0.047265280498236,0.073648324024033,0.0399064732261422
"62",81,0.047265280498236,0.073648324024033,0.0399064732261422
"63",82,0.047265280498236,0.073648324024033,0.0399064732261422
"64",83,0.047265280498236,0.073648324024033,0.0399064732261422
"65",84,0.047265280498236,0.073648324024033,0.0399064732261422
"66",85,0.0474480599241175,0.0693596574859917,0.0385488955750036
"67",86,0.0474480599241175,0.0693596574859917,0.0385488955750036
"68",87,0.0474480599241175,0.0693596574859917,0.0385488955750036
"69",88,0.0474480599241175,0.0693596574859917,0.0385488955750036
"70",89,0.0474480599241175,0.0693596574859917,0.0385488955750036
"71",90,0.0446458370792595,0.0616036040638824,0.0338124800470603
"72",91,0.0446458370792595,0.0616036040638824,0.0338124800470603
"73",92,0.0446458370792595,0.0616036040638824,0.0338124800470603
"74",93,0.0446458370792595,0.0616036040638824,0.0338124800470603
"75",94,0.0446458370792595,0.0616036040638824,0.0338124800470603
